"","Observation_number","Age","Emp_length","Rate","Class","Default","Cred_length","Scaled_Amount","Scaled_Income"
"82",53,44,4,13.57,0,0,3,0.12463768115942,0.0410273515677118
"83",54,25,5,12.69,0,0,3,0.797101449275362,0.0160106737825217
"90",55,22,4,13.06,1,1,3,0.782608695652174,0.0110073382254837
"93",56,24,5,13.49,1,1,2,0.768115942028985,0.0131754503002001
"96",57,23,1,12.69,0,0,3,0.727536231884058,0.019346230820547
"97",58,24,2,13.57,0,0,3,0.0318840579710145,0.0013942628418946
"98",59,22,0,10.99,1,0,3,0.723913043478261,0.00933955970647098
"99",60,25,3,14.27,0,1,4,0.565217391304348,0.0383589059372915
"101",61,26,10,12.18,0,0,3,0.611594202898551,0.0383589059372915
"102",62,25,6,14.42,1,1,3,0.330434782608696,0.0361914609739827
"103",63,26,0,14.17,0,1,2,0.710144927536232,0.0381087391594396
"104",64,25,5,13.99,0,0,4,1,0.0376917945296865
"107",65,25,3,13.61,0,0,3,0.036231884057971,0.0014342895263509
"108",66,21,3,12.73,1,1,3,0.710144927536232,0.0064209472981988
"110",67,25,0,12.87,1,1,4,0.072463768115942,0.00147031354236157
"111",68,24,1,9.91,1,0,3,0.091304347826087,0.00149432955303536
"112",69,26,4,11.49,0,0,4,0.565217391304348,0.0370246831220814
"113",70,25,0,19.91,0,1,2,0.855072463768116,0.0368579052701801
"116",71,24,0,11.83,1,0,4,0.115942028985507,0.00149432955303536
"117",72,23,0,13.49,1,1,2,0.0550724637681159,0.0015003335557038
"118",73,22,6,14.59,1,1,2,0.710144927536232,0.00633755837224817
"120",74,25,1,14.59,1,0,3,0.0898550724637681,0.0015003335557038
"123",75,21,4,10.99,1,0,2,0.710144927536232,0.00750500333555704
"124",76,25,0,18.67,0,0,2,0.710144927536232,0.0368579052701801
"125",77,26,1,9.32,0,0,4,0.072463768115942,0.0368579052701801
"126",78,23,8,8.63,0,0,2,0.202898550724638,0.0368579052701801
"127",79,26,2,10.08,0,0,2,0.710144927536232,0.0368579052701801
"128",80,22,5,11.83,1,0,3,0.710144927536232,0.00758238825883923
"129",81,23,1,7.9,1,0,3,0.710144927536232,0.00767178118745831
"130",82,25,4,5.99,1,0,2,0.710144927536232,0.00767178118745831
"132",83,23,1,11.83,1,0,4,0.710144927536232,0.00767178118745831
"134",84,22,3,12.23,1,0,3,0.710144927536232,0.00767244829886591
"136",85,23,3,7.9,1,0,4,0.128985507246377,0.00153435623749166
"137",86,24,1,11.58,0,0,2,0.710144927536232,0.0360240160106738
"138",87,23,5,8.9,0,0,3,0.594202898550725,0.0353569046030687
"139",88,25,2,16.07,0,0,3,0.710144927536232,0.0353569046030687
"140",89,26,10,14.22,0,1,2,0.565217391304348,0.0353569046030687
"142",90,26,11,7.88,0,0,2,0.333333333333333,0.0351901267511674
"143",91,23,1,13.22,1,0,2,0.710144927536232,0.00800533689126084
"144",92,26,2,11.86,1,0,4,0.710144927536232,0.00700466977985324
"145",93,22,5,13.43,1,1,4,0.710144927536232,0.00817211474316211
"146",94,26,0,15.28,1,1,2,0.710144927536232,0.0071714476317545
"147",95,23,1,17.93,1,0,2,0.710144927536232,0.0071714476317545
"148",96,23,2,9.25,0,0,4,0.0260869565217391,0.00153435623749166
"150",97,22,6,10.62,0,0,4,0.449275362318841,0.0343562374916611
"151",98,26,10,11.83,0,0,4,0.623188405797101,0.0343562374916611
"155",99,23,4,11.36,1,0,3,0.710144927536232,0.00850567044696464
"156",100,23,4,15.65,1,1,3,0.710144927536232,0.00850567044696464
"157",101,24,8,13.22,1,1,4,0.710144927536232,0.00853302201467645
"159",102,24,8,13.04,0,0,3,0.565217391304348,0.0332721814543029
"161",103,23,2,17.04,1,0,4,0.210144927536232,0.00165443629086057
"162",104,24,0,10.99,1,0,3,0.710144927536232,0.00933955970647098
"163",105,24,2,11.11,1,0,3,0.710144927536232,0.00933955970647098
"164",106,26,7,14.83,1,1,2,0.710144927536232,0.00833889259506338
"166",107,24,8,12.69,0,0,2,0.333333333333333,0.0326884589726484
"167",108,24,8,13.49,0,0,2,0.333333333333333,0.0326884589726484
"168",109,21,5,14.65,0,0,4,0.449275362318841,0.0326884589726484
"171",110,23,7,10.25,1,0,4,0.710144927536232,0.00933955970647098
"172",111,21,6,10.99,1,0,4,0.710144927536232,0.00933955970647098
"173",112,25,9,12.73,1,0,2,0.710144927536232,0.00966627751834556
"174",113,22,2,14.96,1,1,3,0.710144927536232,0.00873915943962642
"176",114,21,2,13.99,0,0,2,0.710144927536232,0.0326884589726484
"177",115,24,3,7.49,0,0,4,0.681159420289855,0.0326884589726484
"178",116,26,4,14.79,0,0,3,0.420289855072464,0.0326884589726484
"179",117,25,2,11.99,0,0,2,0.434782608695652,0.0326884589726484
"180",118,24,8,8.49,0,0,4,0.27536231884058,0.0326884589726484
"181",119,24,3,9.91,1,0,2,0.710144927536232,0.0103402268178786
"183",120,22,6,6.17,0,0,4,0.246376811594203,0.0326884589726484
"184",121,44,4,11.86,0,0,2,0.159420289855072,0.0326884589726484
"185",122,25,5,16.32,0,0,3,0.507246376811594,0.0326884589726484
"186",123,25,2,10.38,0,0,2,0.333333333333333,0.0326884589726484
"187",124,25,9,14.35,0,0,3,0.653623188405797,0.0326884589726484
"191",125,26,10,15.21,1,1,2,0.710144927536232,0.0105063375583722
"193",126,24,2,10.99,1,0,3,0.710144927536232,0.0105070046697799
"194",127,24,5,14.09,1,1,3,0.710144927536232,0.0106737825216811
"196",128,25,0,11.48,0,0,3,0.333333333333333,0.0326884589726484
"197",129,26,10,17.74,1,0,2,0.565217391304348,0.0306871247498332
"198",130,26,4,13.92,0,0,3,0.072463768115942,0.0326884589726484
"200",131,22,2,10.99,1,0,3,0.101449275362319,0.00173448965977318
"201",132,24,3,11.86,1,0,4,0.710144927536232,0.0110073382254837
"204",133,25,9,15.33,1,1,2,0.710144927536232,0.0103402268178786
"207",134,25,9,13.11,1,0,2,0.710144927536232,0.0114429619746498
"209",135,25,9,10.36,1,0,2,0.710144927536232,0.01184122748499
"211",136,21,123,6.54,0,0,4,0.565217391304348,0.0313542361574383
"212",137,25,1,12.53,0,0,4,0.27536231884058,0.031187458305537
"215",138,24,4,10.25,1,0,4,0.710144927536232,0.01184122748499
"216",139,22,1,15.95,1,1,4,0.710144927536232,0.0111741160773849
"217",140,26,3,12.18,0,0,4,0.565217391304348,0.0310206804536358
"218",141,23,0,11.83,0,0,3,0.681159420289855,0.0310200133422282
"220",142,23,1,10.62,1,0,3,0.710144927536232,0.0123415610406938
"221",143,23,7,10.74,1,0,3,0.710144927536232,0.012425617078052
"222",144,25,9,10.25,0,0,4,0.27536231884058,0.0303535690460307
"224",145,25,6,15.27,0,0,2,0.420289855072464,0.0301867911941294
"226",146,23,7,15.21,1,1,2,0.710144927536232,0.012577718478986
"228",147,24,8,15.7,1,1,2,0.710144927536232,0.0126135757171448
"232",148,26,5,13.61,1,0,4,0.710144927536232,0.0126751167444963
"235",149,24,7,14.46,0,1,4,0.623188405797101,0.0301854569713142
"236",150,23,5,11.83,0,0,2,0.0579710144927536,0.0300200133422282
"237",151,24,6,13.47,1,1,4,0.565217391304348,0.0280186791194129
"238",152,24,2,11.49,0,0,3,0.565217391304348,0.0298532354903269
"240",153,25,9,6.03,0,0,3,0.420289855072464,0.0298452301534356
"241",154,23,7,16.35,1,0,4,0.710144927536232,0.0116751167444963
"243",155,25,5,7.29,1,0,3,0.710144927536232,0.0128418945963976
"244",156,23,1,11.36,1,0,3,0.710144927536232,0.0129419613075384
"245",157,24,8,10.25,0,0,2,0.710144927536232,0.0130086724482989
"246",158,24,5,11.12,0,0,3,0.710144927536232,0.0131754503002001
"247",159,24,5,12.92,0,1,3,0.710144927536232,0.0131754503002001
"248",160,24,8,18.64,0,1,4,0.507246376811594,0.0293529019346231
"249",161,23,8,7.51,0,0,3,0.797101449275362,0.0293529019346231
"250",162,23,2,16.7,1,0,2,0.101449275362319,0.00173448965977318
"251",163,22,0,11.14,0,0,4,0.0463768115942029,0.00173448965977318
"253",164,24,5,10.62,0,0,4,0.710144927536232,0.0135090060040027
"254",165,24,7,11.99,0,0,2,0.391304347826087,0.0293529019346231
"256",166,25,9,18.25,1,0,4,0.27536231884058,0.0231487658438959
"258",167,24,8,14.84,0,0,3,0.710144927536232,0.0138425617078052
"259",168,24,0,14.7,1,1,3,0.710144927536232,0.01184122748499
"260",169,23,7,16.02,1,0,4,0.710144927536232,0.0120080053368913
"261",170,23,1,15.37,1,1,2,0.710144927536232,0.0103760840560374
"262",171,25,9,10.99,0,0,4,0.710144927536232,0.014342895263509
"263",172,21,0,7.9,1,0,2,0.165217391304348,0.00183455637091394
"264",173,26,2,10.99,0,0,4,0.710144927536232,0.0293529019346231
"265",174,24,8,11.48,0,0,3,0.594202898550725,0.0293529019346231
"267",175,26,0,8,0,0,4,0.27536231884058,0.0293529019346231
"270",176,23,2,16.32,1,1,3,0.710144927536232,0.0123415610406938
"271",177,25,3,17.93,1,1,4,0.710144927536232,0.010390260173449
"275",178,25,6,12.69,0,0,3,0.710144927536232,0.0146764509673115
"276",179,24,1,12.73,0,1,4,0.710144927536232,0.0146764509673115
"277",180,23,3,15.21,0,0,4,0.710144927536232,0.0149432955303536
"278",181,23,1,12.68,0,1,3,0.036231884057971,0.00183455637091394
"279",182,23,3,19.04,1,1,4,0.710144927536232,0.0110990660440294
"282",183,25,10,7.9,0,0,2,0.217391304347826,0.0285190126751167
"285",184,23,4,13.98,1,0,4,0.101449275362319,0.00183455637091394
"287",185,22,6,15.58,1,1,2,0.710144927536232,0.0140093395597065
"288",186,25,2,10.99,1,0,2,0.710144927536232,0.0118078719146097
"290",187,25,2,15.31,0,1,4,0.036231884057971,0.00183455637091394
"291",188,26,2,15.65,1,0,3,0.710144927536232,0.0140093395597065
"292",189,25,1,9.33,0,0,4,0.710144927536232,0.0160106737825217
"293",190,23,0,13.47,1,0,4,0.0898550724637681,0.00183455637091394
"294",191,24,8,10.36,0,0,3,0.710144927536232,0.0164109406270847
"296",192,23,0,14.59,1,1,2,0.710144927536232,0.0148432288192128
"297",193,22,6,11.91,0,1,2,0.0869565217391304,0.0285190126751167
"298",194,23,3,8.38,0,0,3,0.194202898550725,0.0285190126751167
"299",195,25,9,10.59,0,0,3,0.246376811594203,0.0284703135423616
"302",196,25,5,16,1,1,3,0.710144927536232,0.0263509006004003
"304",197,21,0,11.54,1,1,3,0.077536231884058,0.00183455637091394
"305",198,25,2,15.68,1,1,4,0.710144927536232,0.0153435623749166
"306",199,21,0,10.59,0,0,2,0.0289855072463768,0.00185456971314209
"307",200,24,8,12.61,1,1,2,0.710144927536232,0.0156617745163442
"309",201,23,7,8.49,1,0,3,0.0666666666666667,0.0018685790527018
"310",202,25,0,17.27,1,1,4,0.855072463768116,0.0259506337558372
"311",203,24,6,8.9,0,0,4,0.507246376811594,0.0279352901934623
"312",204,25,3,11.11,0,0,4,0.27536231884058,0.027685790527018
"313",205,24,0,14.59,1,1,2,0.710144927536232,0.0256844563042028
"317",206,22,7,12.53,1,0,3,0.0579710144927536,0.0018945963975984
"318",207,25,3,16.49,1,0,2,0.130434782608696,0.0217311541027352
"319",208,25,2,7.49,0,0,2,0.565217391304348,0.0276851234156104
"321",209,25,7,12.73,0,1,4,0.710144927536232,0.0181787858572382
"324",210,23,7,9.99,0,0,2,0.710144927536232,0.019346230820547
"325",211,24,5,15.33,1,1,2,0.710144927536232,0.0146430953969313
"328",212,26,6,10.75,0,0,3,0.710144927536232,0.0210133422281521
"331",213,25,4,12.53,0,0,4,0.565217391304348,0.0276851234156104
"333",214,22,1,11.14,0,0,3,0.391304347826087,0.0275183455637091
"334",215,26,10,12.87,0,1,3,0.688405797101449,0.0274766511007338
"335",216,23,3,11.58,0,0,3,0.565217391304348,0.0274516344229486
"336",217,24,5,11.12,0,0,3,0.0376811594202899,0.0273995997331554
"337",218,25,2,10.65,0,0,2,1,0.0273515677118079
"338",219,24,6,10.37,0,0,2,0.710144927536232,0.0215643762508339
"339",220,24,5,6.39,1,0,4,0.0811594202898551,0.0019346230820547
"340",221,24,8,16.07,0,1,3,0.710144927536232,0.0216811207471648
"341",222,25,7,10.62,0,0,2,0.710144927536232,0.0216811207471648
"343",223,25,5,11.36,0,0,4,0.710144927536232,0.021847898599066
"344",224,26,10,12.53,0,0,4,0.710144927536232,0.0219579719813209
"345",225,25,0,9.99,0,0,4,0.710144927536232,0.0235156771180787
"346",226,23,4,10.36,0,0,3,0.710144927536232,0.0243495663775851
"348",227,22,5,15.62,1,1,2,0.681159420289855,0.0248498999332889
"350",228,25,0,19.74,0,0,4,0.710144927536232,0.0268512341561041
"355",229,23,1,14.93,1,0,3,0.710144927536232,0.0240160106737825
"356",230,23,1,12.84,1,0,4,0.147826086956522,0.00200133422281521
"357",231,24,3,17.14,1,1,2,0.0905797101449275,0.00200466977985324
"358",232,22,2,7.14,1,0,3,0.144927536231884,0.00201701134089393
"359",233,25,2,8.9,0,0,2,0.710144927536232,0.0285190126751167
"360",234,22,6,12.42,0,0,3,0.0434782608695652,0.00203468979319546
"362",235,25,9,11.03,0,0,2,0.710144927536232,0.0263509006004003
"363",236,26,10,7.9,0,0,4,0.855072463768116,0.026184122748499
"365",237,25,5,11.86,0,0,4,0.710144927536232,0.0368579052701801
"366",238,25,1,8.94,1,0,4,0.130434782608696,0.00206804536357572
"367",239,23,6,9.63,1,0,4,0.11231884057971,0.00208472314876584
"368",240,25,6,14.22,1,0,3,0.702898550724638,0.00758839226150767
"370",241,24,8,13.85,0,0,4,0.695652173913043,0.0133755837224817
"371",242,22,5,10.65,0,0,2,0.0434782608695652,0.00213475650433622
"374",243,24,9,16.77,0,0,4,0.333333333333333,0.0260173448965977
"378",244,25,2,13.98,1,0,4,0.688405797101449,0.00833889259506338
"379",245,23,1,10.62,1,0,4,0.688405797101449,0.00975650433622415
"383",246,22,7,15.65,1,1,2,0.688405797101449,0.0116744496330887
"385",247,24,1,12.53,0,0,3,0.688405797101449,0.0143275517011341
"386",248,26,0,17.56,1,1,3,0.688405797101449,0.0123415610406938
"387",249,23,0,12.87,0,1,2,0.688405797101449,0.0160106737825217
"388",250,23,6,15.7,0,0,2,0.688405797101449,0.0165110073382255
"390",251,25,5,11.14,0,0,4,0.420289855072464,0.0260173448965977
"391",252,24,3,16,0,0,3,0.565217391304348,0.0260173448965977
"394",253,21,3,15.31,0,1,4,0.427536231884058,0.0260173448965977
"395",254,25,3,13.47,0,1,2,0.565217391304348,0.0260173448965977
"396",255,22,0,13.85,1,1,2,0.123188405797101,0.00213475650433622
"398",256,21,0,10.39,1,0,4,0.159420289855072,0.00213475650433622
"399",257,25,0,11.36,0,0,2,0.688405797101449,0.0185456971314209
"401",258,23,3,12.53,0,0,3,0.688405797101449,0.0471981320880587
"402",259,22,1,14.96,1,1,3,0.685507246376812,0.0173448965977318
"403",260,22,7,13.85,1,1,3,0.681159420289855,0.00650433622414943
"404",261,23,1,11.58,1,0,4,0.681159420289855,0.00717211474316211
"405",262,24,4,16.29,1,1,2,0.681159420289855,0.00733822548365577
"407",263,21,2,16.29,1,1,2,0.681159420289855,0.00683188792528352
"410",264,24,3,17.8,1,0,2,0.681159420289855,0.0071714476317545
"412",265,22,2,17.56,1,0,4,0.681159420289855,0.00750500333555704
"413",266,26,0,7.9,1,0,4,0.681159420289855,0.00933955970647098
"414",267,25,3,10.99,1,0,4,0.681159420289855,0.00933955970647098
"415",268,22,0,7.29,1,0,3,0.681159420289855,0.00933955970647098
"416",269,21,5,10.75,1,0,2,0.681159420289855,0.00933955970647098
"417",270,26,9,7.9,1,0,3,0.681159420289855,0.00967378252168112
"421",271,23,5,19.69,1,1,2,0.681159420289855,0.00917278185456971
"423",272,24,0,14.96,1,0,4,0.681159420289855,0.00933955970647098
"424",273,25,9,6.99,1,0,3,0.681159420289855,0.0103640760507005
"425",274,22,3,16.45,1,1,4,0.681159420289855,0.00971480987324883
"426",275,24,8,10.99,1,0,4,0.681159420289855,0.0110073382254837
"427",276,23,7,10.99,1,0,2,0.681159420289855,0.0116744496330887
"429",277,22,6,12.69,1,0,4,0.681159420289855,0.01184122748499
"430",278,24,9,10.37,1,0,3,0.681159420289855,0.01184122748499
"435",279,24,2,10.25,0,0,2,0.681159420289855,0.0126751167444963
"436",280,22,1,7.49,1,0,4,0.0869565217391304,0.00233488992661775
"438",281,23,6,12.92,1,0,2,0.681159420289855,0.0117911941294196
"440",282,25,4,8.9,0,0,2,0.681159420289855,0.0151767845230153
"441",283,22,6,19.69,1,0,3,0.681159420289855,0.0131754503002001
"445",284,26,5,12.73,0,0,4,0.681159420289855,0.0160106737825217
"446",285,24,7,15.62,0,0,4,0.681159420289855,0.0176784523015344
"447",286,24,0,6.54,1,0,4,0.166666666666667,0.00233488992661775
"449",287,26,6,20.03,1,0,4,0.681159420289855,0.0166564376250834
"451",288,24,1,12.69,0,0,4,0.681159420289855,0.019346230820547
"453",289,24,4,16.49,0,1,4,0.681159420289855,0.0200266844563042
"454",290,23,1,15.95,1,0,2,0.0579710144927536,0.00233488992661775
"455",291,24,7,11.49,0,0,3,0.681159420289855,0.0210140093395597
"456",292,25,8,10.99,0,0,2,0.681159420289855,0.021847898599066
"457",293,24,4,13.79,0,0,2,0.681159420289855,0.021847898599066
"458",294,23,2,20.03,1,1,3,0.681159420289855,0.0184706470980654
"459",295,23,0,7.49,0,0,4,0.681159420289855,0.0243495663775851
"461",296,24,6,7.88,1,0,3,0.36231884057971,0.00233488992661775
"462",297,21,0,10.62,1,0,4,0.166666666666667,0.00233488992661775
"466",298,21,1,11.36,0,0,3,0.0579710144927536,0.00233488992661775
"469",299,24,2,11.89,1,0,3,0.669565217391304,0.00850500333555704
"470",300,24,0,12.18,1,0,2,0.27536231884058,0.00233488992661775
"471",301,25,9,13.49,0,0,4,0.669565217391304,0.0163442294863242
"474",302,22,1,15.31,1,1,2,0.142028985507246,0.00233488992661775
"480",303,23,2,12.18,1,0,4,0.652173913043478,0.00933955970647098
"481",304,24,3,11.34,0,1,4,0.0202898550724638,0.00233488992661775
"482",305,25,9,9.91,1,0,3,0.652173913043478,0.00987458305537025
"483",306,24,0,11.99,1,0,4,0.652173913043478,0.0101734489659773
"485",307,22,1,9.96,1,0,3,0.072463768115942,0.00233488992661775
"487",308,24,1,14.54,1,0,2,0.652173913043478,0.0140093395597065
"488",309,22,5,11.36,1,0,4,0.644927536231884,0.00910607071380921
"490",310,24,3,11.99,1,0,3,0.072463768115942,0.00238275517011341
"491",311,26,2,18.99,1,1,2,0.63768115942029,0.0109816544362909
"492",312,24,0,16.7,1,1,4,0.634782608695652,0.0115076717811875
"493",313,24,8,9.32,1,0,3,0.130434782608696,0.00241827885256838
"494",314,23,2,12.69,1,0,3,0.630434782608696,0.00517011340893929
"495",315,25,9,13.11,1,0,2,0.623188405797101,0.00650433622414943
"496",316,25,4,10.74,1,0,2,0.623188405797101,0.00800533689126084
"497",317,21,0,14.11,1,1,4,0.107246376811594,0.00245180120080053
"498",318,22,6,9.63,1,0,3,0.623188405797101,0.00883922615076718
"500",319,23,6,10.25,1,0,4,0.623188405797101,0.00933955970647098
"502",320,25,5,9.91,1,0,2,0.072463768115942,0.00247498332221481
"503",321,26,7,17.19,1,0,3,0.623188405797101,0.00867244829886591
"506",322,23,3,10.59,0,0,3,0.623188405797101,0.0116851234156104
"507",323,24,5,9.25,0,0,2,0.623188405797101,0.0121075717144763
"510",324,21,5,8.49,1,0,3,0.159420289855072,0.00250166777851901
"513",325,24,3,13.85,1,0,2,0.2,0.00250166777851901
"514",326,25,3,7.4,1,0,3,0.101449275362319,0.00250166777851901
"515",327,23,3,11.71,0,0,4,0.623188405797101,0.0133422281521014
"516",328,25,8,11.48,1,0,3,0.623188405797101,0.0122831887925284
"518",329,21,0,14.61,1,0,3,0.0869565217391304,0.00250366911274183
"519",330,23,3,7.88,0,0,4,0.623188405797101,0.0160100066711141
"523",331,24,5,13.49,1,0,2,0.611594202898551,0.00833889259506338
"524",332,23,8,21.21,1,1,4,0.611594202898551,0.00867244829886591
"525",333,26,2,14.35,1,1,3,0.611594202898551,0.00983989326217478
"526",334,22,3,13.61,0,1,3,0.611594202898551,0.0130086724482989
"528",335,22,0,10.59,0,0,3,0.0550724637681159,0.00253502334889927
"529",336,24,8,7.9,0,0,2,0.611594202898551,0.0180353569046031
"532",337,24,5,16.89,1,0,3,0.608695652173913,0.00917278185456971
"533",338,24,5,9.99,1,0,3,0.608695652173913,0.0110073382254837
"534",339,24,5,15.33,0,1,3,0.608695652173913,0.018679119412942
"535",340,25,5,7.29,1,0,4,0.607246376811594,0.00933955970647098
"536",341,22,5,12.42,1,0,3,0.601449275362319,0.00450300200133422
"537",342,25,5,10.99,1,0,2,0.601449275362319,0.00718012008005337
"540",343,22,3,10.25,1,0,3,0.601449275362319,0.00817211474316211
"542",344,24,8,15.95,1,1,3,0.601449275362319,0.00867244829886591
"544",345,21,3,12.53,1,0,4,0.594202898550725,0.00517011340893929
"547",346,26,3,6.54,1,0,4,0.594202898550725,0.00600400266844563
"551",347,26,5,7.51,1,0,4,0.101449275362319,0.00253502334889927
"552",348,22,2,10.71,1,0,3,0.594202898550725,0.00917278185456971
"554",349,26,11,14.09,1,0,3,0.594202898550725,0.0102099733155437
"555",350,22,2,10,0,0,3,0.594202898550725,0.01184122748499
"556",351,22,3,15.33,1,0,3,0.130434782608696,0.00253502334889927
"557",352,25,9,16.32,1,1,4,0.594202898550725,0.00968095396931288
"559",353,23,3,11.99,0,0,3,0.594202898550725,0.0126751167444963
"560",354,24,8,10.75,0,0,4,0.594202898550725,0.0133422281521014
"561",355,26,3,13.92,0,0,3,0.594202898550725,0.0135090060040027
"562",356,22,1,9.91,0,0,3,0.594202898550725,0.0148432288192128
"563",357,26,10,16.95,1,1,3,0.594202898550725,0.0128418945963976
"564",358,26,1,7.9,0,0,3,0.594202898550725,0.0155103402268179
"566",359,25,2,16.49,1,1,3,0.594202898550725,0.0160106737825217
"569",360,26,5,8.9,0,0,2,0.594202898550725,0.0201801200800534
"572",361,21,0,9.64,1,0,2,0.420289855072464,0.00258505670446965
"573",362,26,7,7.49,1,0,3,0.579710144927536,0.00767178118745831
"574",363,23,2,13.16,0,1,3,0.579710144927536,0.0110073382254837
"577",364,23,7,7.49,1,0,2,0.576086956521739,0.00833889259506338
"578",365,26,10,9.76,1,0,2,0.566666666666667,0.00366911274182789
"582",366,24,1,12.53,1,0,4,0.565217391304348,0.00523082054703135
"583",367,25,4,14.59,1,0,4,0.565217391304348,0.0056704469646431
"585",368,25,6,13.11,1,0,2,0.565217391304348,0.0056711140760507
"586",369,23,2,10.65,0,0,4,0.171014492753623,0.00266844563042028
"587",370,25,9,11.22,1,1,4,0.565217391304348,0.0057631754503002
"588",371,23,1,16,1,0,2,0.565217391304348,0.00481987991994663
"590",372,24,4,12.53,1,0,3,0.565217391304348,0.00600400266844563
"594",373,22,7,6.99,1,0,4,0.565217391304348,0.00637491661107405
"603",374,22,1,13.92,1,1,3,0.565217391304348,0.00683789192795197
"604",375,24,5,14.74,1,0,2,0.565217391304348,0.00583722481654436
"606",376,22,7,10.65,1,0,3,0.565217391304348,0.00733822548365577
"607",377,22,1,12.99,1,0,3,0.565217391304348,0.00633755837224817
"608",378,22,1,11.36,1,0,4,0.565217391304348,0.0074216144096064
"609",379,22,3,5.79,0,0,4,0.202898550724638,0.00266844563042028
"610",380,23,0,6.54,1,0,4,0.565217391304348,0.00757171447631754
"612",381,25,10,7.49,1,0,3,0.565217391304348,0.00767178118745831
"615",382,22,1,14.72,0,0,3,0.130434782608696,0.00266844563042028
"616",383,22,2,15.68,1,0,4,0.565217391304348,0.0066711140760507
"619",384,24,8,10.38,1,0,3,0.565217391304348,0.00783855903935957
"620",385,22,5,12.53,1,0,3,0.565217391304348,0.00783855903935957
"621",386,22,0,13.47,1,0,2,0.565217391304348,0.00783855903935957
"622",387,24,6,12.21,1,0,4,0.565217391304348,0.00792194796531021
"625",388,22,2,16,1,1,4,0.565217391304348,0.00700466977985324
